item_id,section,block,block_title,group,text,pitch,pitch_level,energy,note,suggest_male,suggest_female,filename_base,take,status,comment
B011,گفتار,B,پوشش واجی,خ,خواهرم خوابیده بود که تلفن زنگ خورد.,,,,خو (خوانده‌نشده),,,SPK01_M_S_B_011,,,
B012,گفتار,B,پوشش واجی,خ,خرید خانه در این شهر دیگر خواب و خیال شده.,,,,خ آغازین پیاپی,,,SPK01_M_S_B_012,,,
B013,گفتار,B,پوشش واجی,خ,تو خودت خوب می‌دانی چه خبر است، خودت را به نفهمی نزن.,,,,خ + محاوره,,,SPK01_M_S_B_013,,,
B014,گفتار,B,پوشش واجی,خ,آخرین باری که خندید، سه سال پیش بود.,,,,خ میانی,,,SPK01_M_S_B_014,,,
B015,گفتار,B,پوشش واجی,خ,داخل جعبه فقط چند تا عکس قدیمی و یک ساعت خراب بود.,,,,خ + ع + ق,,,SPK01_M_S_B_015,,,
B016,گفتار,B,پوشش واجی,ح و ه,حالا که حرفش شد، حقیقت را همین‌جا بگو.,,,,ح آغازین,,,SPK01_M_S_B_016,,,
B017,گفتار,B,پوشش واجی,ح و ه,صبح زود حرکت کردیم و ظهر رسیدیم خانه.,,,,ح میانی + ظ,,,SPK01_M_S_B_017,,,
B018,گفتار,B,پوشش واجی,ح و ه,حوصله‌ام سر رفته، بیا یک هوای تازه بخوریم.,,,,ح + ه,,,SPK01_M_S_B_018,,,
B019,گفتار,B,پوشش واجی,ح و ه,همه‌چیز همان‌طور بود که خواسته بودی، حتی بهتر.,,,,ه پرتکرار,,,SPK01_M_S_B_019,,,
B020,گفتار,B,پوشش واجی,ع,معلم بعد از امتحان با عصبانیت از کلاس بیرون رفت.,,,,ع میانی و آغازین,,,SPK01_M_S_B_020,,,
B021,گفتار,B,پوشش واجی,ع,سعی کن جمعهٔ بعد را برای من خالی نگه داری.,,,,ع میان‌مصوتی,,,SPK01_M_S_B_021,,,
B022,گفتار,B,پوشش واجی,ع,عجله کن، اتوبوس ساعت شش حرکت می‌کند.,,,,ع + ش,,,SPK01_M_S_B_022,,,
B023,گفتار,B,پوشش واجی,ع,این موضوع اصلاً به تو مربوط نیست، لطفاً دخالت نکن.,,,,ع پایانی + ض + ط,,,SPK01_M_S_B_023,,,
B024,گفتار,B,پوشش واجی,ژ — کم‌بسامد ولی حیاتی,ژاله روی شیشه نشسته بود و ژاکتش کاملاً خیس شده بود.,,,,ژ آغازین,,,SPK01_M_S_B_024,,,
B025,گفتار,B,پوشش واجی,ژ — کم‌بسامد ولی حیاتی,انرژی این پروژه از خود من هم بیشتر است.,,,,ژ میانی,,,SPK01_M_S_B_025,,,
B026,گفتار,B,پوشش واجی,ژ — کم‌بسامد ولی حیاتی,مژه‌هایش خیس بود ولی چیزی نگفت.,,,,ژ میان‌مصوتی,,,SPK01_M_S_B_026,,,
B027,گفتار,B,پوشش واجی,خوشه‌های صامت,فکر کردم مشکل حل شده، ولی سخت‌تر از قبل شد.,,,,کر / شک / خت,,,SPK01_M_S_B_027,,,
B028,گفتار,B,پوشش واجی,خوشه‌های صامت,شصت درصد برنامه‌ها به‌خاطر یک اشتباه کوچک مختل شد.,,,,صت / رصد / ختل,,,SPK01_M_S_B_028,,,
B029,گفتار,B,پوشش واجی,خوشه‌های صامت,پزشک گفت استراحت مطلق، ولی کسی گوش نداد.,,,,زشک / ستر / طلق,,,SPK01_M_S_B_029,,,
B030,گفتار,B,پوشش واجی,خوشه‌های صامت,صبر کن، فرصت هست، عجله فقط خرابش می‌کند.,,,,بر / رصت / قط,,,SPK01_M_S_B_030,,,
B031,گفتار,B,پوشش واجی,خوشه‌های صامت,دستم را بگیر و از این پله‌های لعنتی بیا پایین.,,,,ستم / گیر,,,SPK01_M_S_B_031,,,
B032,گفتار,B,پوشش واجی,تشدید,مخصوصاً وقتی مسئله جدی می‌شود، دقت بیشتری لازم است.,,,,صوصاً / سئله,,,SPK01_M_S_B_032,,,
B033,گفتار,B,پوشش واجی,تشدید,محمد مصمم بود که حتماً همین امشب برگردد.,,,,صمّم / حتماً,,,SPK01_M_S_B_033,,,
B034,گفتار,B,پوشش واجی,تشدید,اولین بار که دیدمش، فکر کردم بچهٔ محلمان است.,,,,اوّل / محلّ,,,SPK01_M_S_B_034,,,
B035,گفتار,B,پوشش واجی,تشدید,معطل نکن، مسئولیتش با من.,,,,عطّل / مسئولیّت,,,SPK01_M_S_B_035,,,
B036,گفتار,B,پوشش واجی,مصوت‌های شش‌گانه,سرِ کوچه، مردی با کتِ آبی زیر باران ایستاده بود.,,,,کسرهٔ اضافه، مصوت کوتاه,,,SPK01_M_S_B_036,,,
B037,گفتار,B,پوشش واجی,مصوت‌های شش‌گانه,او را روی پل دیدم، دور از شهر، تنها.,,,,او / اُ / ای,,,SPK01_M_S_B_037,,,
B038,گفتار,B,پوشش واجی,مصوت‌های شش‌گانه,بوی نان تازه از تنور بیرون می‌آمد.,,,,او کشیده + آ,,,SPK01_M_S_B_038,,,
B039,گفتار,B,پوشش واجی,مصوت‌های شش‌گانه,دلم یک چای داغ می‌خواهد و یک پنجرهٔ باز.,,,,اَ / آ / ای,,,SPK01_M_S_B_039,,,
B040,گفتار,B,پوشش واجی,مصوت‌های شش‌گانه,این کتاب را بیست سال پیش پدرم به من داد.,,,,ای کشیده,,,SPK01_M_S_B_040,,,
B041,گفتار,B,پوشش واجی,اعداد، تاریخ و شمارش,شمارهٔ من صفر نهصد و دوازده، سیصد و چهل و پنج، شصت و هفت، هشتاد و نه است.,,,,اعداد پیوسته — سرعت طبیعی,,,SPK01_M_S_B_041,,,
B042,گفتار,B,پوشش واجی,اعداد، تاریخ و شمارش,امروز بیست و یکم شهریور هزار و چهارصد و پنج است، ساعت هفت و بیست دقیقهٔ عصر.,,,,تاریخ و ساعت,,,SPK01_M_S_B_042,,,
B043,گفتار,B,پوشش واجی,اعداد، تاریخ و شمارش,قیمتش شد چهار میلیون و هشتصد و پنجاه هزار تومان، بدون تخفیف.,,,,مبلغ,,,SPK01_M_S_B_043,,,
B044,گفتار,B,پوشش واجی,وام‌واژه‌ها — در دوبله و محتوای امروزی خیلی زیادند,فایل را روی سرور آپلود کن و لینکش را برای من بفرست.,,,,واژه‌های انگلیسی در بافت فارسی,,,SPK01_M_S_B_044,,,
B045,گفتار,B,پوشش واجی,وام‌واژه‌ها — در دوبله و محتوای امروزی خیلی زیادند,اینترنت قطع شد و ویدئو کنفرانس وسط جلسه پرید.,,,,همان,,,SPK01_M_S_B_045,,,
B046,گفتار,B,پوشش واجی,وام‌واژه‌ها — در دوبله و محتوای امروزی خیلی زیادند,آدرس ایمیلم را در واتساپ برایت می‌فرستم.,,,,همان,,,SPK01_M_S_B_046,,,
B047,گفتار,B,پوشش واجی,جملات بلند — برای الگوی نوایی و مدیریت نفس,با اینکه از قبل گفته بودم دیر می‌رسم، باز هم همه منتظر ماندند تا من برسم و بعد شام را شروع کردند.,,,,یک نفس، بدون شتاب,,,SPK01_M_S_B_047,,,
B048,گفتار,B,پوشش واجی,جملات بلند — برای الگوی نوایی و مدیریت نفس,مسئله این نیست که چه کسی مقصر است؛ مسئله این است که از فردا باید چه کار کنیم تا دوباره تکرار نشود.,,,,مکث معنادار وسط جمله,,,SPK01_M_S_B_048,,,
B049,گفتار,B,پوشش واجی,جملات بلند — برای الگوی نوایی و مدیریت نفس,اگر یک بار دیگر، فقط یک بار دیگر، این حرف را جلوی بچه‌ها بزنی، دیگر هیچ‌وقت مرا اینجا نخواهی دید.,,,3,,,,SPK01_M_S_B_049,,,
B050,گفتار,B,پوشش واجی,جملات بلند — برای الگوی نوایی و مدیریت نفس,هرچه فکر می‌کنم، یادم نمی‌آید آن روز کجا بودم و چرا گوشی‌ام را جواب ندادم.,,,,تردید در لحن,,,SPK01_M_S_B_050,,,
B051,گفتار,B,پوشش واجی,آهنگ پرسشی — الگوی نوایی متفاوت,واقعاً فکر کردی متوجه نمی‌شوم؟,زیر,4,,,,,SPK01_M_S_B_051,,,
B052,گفتار,B,پوشش واجی,آهنگ پرسشی — الگوی نوایی متفاوت,کِی برمی‌گردی؟,زیر,4,,,,,SPK01_M_S_B_052,,,
B053,گفتار,B,پوشش واجی,آهنگ پرسشی — الگوی نوایی متفاوت,چرا هیچ‌کس چیزی به من نگفت؟,,,,پرسش گلایه‌آمیز,,,SPK01_M_S_B_053,,,
B054,گفتار,B,پوشش واجی,آهنگ پرسشی — الگوی نوایی متفاوت,مطمئنی حالت خوب است؟,,,2,,,,SPK01_M_S_B_054,,,
C001,گفتار,C,احساسات,شادی و سرخوشی,باورم نمی‌شه! قبول شدم! واقعاً قبول شدم!,زیر,4,4,سریع، با نفس بریده,,,SPK01_M_S_C_001,,,
C002,گفتار,C,احساسات,شادی و سرخوشی,بدو بیا اینجا، باید یه چیزی نشونت بدم!,زیر,4,4,با خنده در صدا,,,SPK01_M_S_C_002,,,
C003,گفتار,C,احساسات,شادی و سرخوشی,بهترین خبری بود که این ماه شنیدم.,طبیعی,3,3,شادی آرام، لبخند پشت جمله,,,SPK01_M_S_C_003,,,
C004,گفتار,C,احساسات,غم,دیگه هیچ‌وقت مثل قبل نمی‌شه، نه؟,بم,2,2,کند، با نفس سنگین,,,SPK01_M_S_C_004,,,
C005,گفتار,C,احساسات,غم,همه‌چی رو جمع کردم، فقط عکسا موند.,بم,2,2,خالی از احساس بیرونی، ولی سنگین,,,SPK01_M_S_C_005,,,
C006,گفتار,C,احساسات,غم,دلم می‌خواد یه ساعت هیچ‌کس هیچی ازم نپرسه.,بم,2,2,با کمی خش در انتها,,,SPK01_M_S_C_006,,,
C007,گفتار,C,احساسات,عصبانیت انفجاری,چند بار باید بگم؟! چند بار؟!,خیلی زیر,5,5,فریاد واقعی — ولی از گلو نه، از شکم,,,SPK01_M_S_C_007,,,
C008,گفتار,C,احساسات,عصبانیت انفجاری,دست به هیچی نزن! هیچی!,زیر,4,5,تیز و کوتاه,,,SPK01_M_S_C_008,,,
C009,گفتار,C,احساسات,عصبانیت انفجاری,برو بیرون. همین الان.,بم,2,4,بم ولی پرفشار — خطرناک‌تر از فریاد,,,SPK01_M_S_C_009,,,
C010,گفتار,C,احساسات,خشم سرد — لحنی که در فریاد پیدا نمی‌شود,خیلی خب. باشه. هر جور راحتی.,بم,2,2,کاملاً تخت، بدون هیچ رنگی,,,SPK01_M_S_C_010,,,
C011,گفتار,C,احساسات,خشم سرد — لحنی که در فریاد پیدا نمی‌شود,من چیزی نگفتم. تو خودت شنیدی چی گفتی.,بم,2,3,شمرده، با مکث بین جمله‌ها,,,SPK01_M_S_C_011,,,
C012,گفتار,C,احساسات,خشم سرد — لحنی که در فریاد پیدا نمی‌شود,یادم می‌مونه. مطمئن باش یادم می‌مونه.,خیلی بم,1,2,تقریباً زمزمه — صدای خش‌دار مجاز,,,SPK01_M_S_C_012,,,
C013,گفتار,C,احساسات,ترس,یه چیزی اون پشت تکون خورد... شنیدی؟,زیر,4,1,نجوای لرزان — نفس سطحی و تند,,,SPK01_M_S_C_013,,,
C014,گفتار,C,احساسات,ترس,نرو! تو رو خدا نرو اون تو!,خیلی زیر,5,5,فریاد وحشت‌زده، صدا بشکند اشکالی ندارد,,,SPK01_M_S_C_014,,,
C015,گفتار,C,احساسات,ترس,دستم داره می‌لرزه، نمی‌تونم نگهش دارم.,زیر,4,2,لرزش واقعی در صدا,,,SPK01_M_S_C_015,,,
C016,گفتار,C,احساسات,اضطراب و نگرانی,چرا جواب نمی‌ده؟ سه ساعته دارم زنگ می‌زنم.,طبیعی,3,3,تند و بی‌قرار,,,SPK01_M_S_C_016,,,
C017,گفتار,C,احساسات,اضطراب و نگرانی,اگه نرسیم چی؟ اگه در رو بسته باشن چی؟,زیر,4,3,سرعت رو به افزایش,,,SPK01_M_S_C_017,,,
C018,گفتار,C,احساسات,اضطراب و نگرانی,من نمی‌تونم آروم بشینم، تو چطوری آرومی؟,زیر,4,4,با لبهٔ عصبانیت,,,SPK01_M_S_C_018,,,
C019,گفتار,C,احساسات,تعجب,چی؟! کِی این اتفاق افتاد؟,خیلی زیر,5,4,پرش ناگهانی زیروبمی,,,SPK01_M_S_C_019,,,
C020,گفتار,C,احساسات,تعجب,نه بابا! خودش گفت؟,زیر,4,4,تعجب خوشایند,,,SPK01_M_S_C_020,,,
C021,گفتار,C,احساسات,تعجب,وایسا وایسا... تو از کجا می‌دونی؟,طبیعی,3,3,تعجب همراه با شک,,,SPK01_M_S_C_021,,,
C022,گفتار,C,احساسات,انزجار,اَه، این چه بویی می‌ده؟ بندازش دور.,بم,2,3,با چین دادن بینی — واقعاً,,,SPK01_M_S_C_022,,,
C023,گفتار,C,احساسات,انزجار,حتی نمی‌خوام راجع بهش فکر کنم.,بم,2,2,پس زدن، سرد,,,SPK01_M_S_C_023,,,
C024,گفتار,C,احساسات,انزجار,چطور تونستی؟ واقعاً چطور تونستی؟,طبیعی,3,4,انزجار آمیخته به بغض,,,SPK01_M_S_C_024,,,
C025,گفتار,C,احساسات,محبت,خوشحالم که هستی. همین.,بم,2,2,گرم، آرام، بدون شتاب,,,SPK01_M_S_C_025,,,
C026,گفتار,C,احساسات,محبت,بخواب، من بیدارم. چیزی نیست.,بم,2,1,نجوای مهربان — نزدیک میکروفن,,,SPK01_M_S_C_026,,,
C027,گفتار,C,احساسات,محبت,هر جا بری، من همین‌جام.,طبیعی,3,2,محکم ولی نرم,,,SPK01_M_S_C_027,,,
C028,گفتار,C,احساسات,دلتنگی,صدات که میاد، انگار هیچی عوض نشده.,بم,2,2,با لبخند تلخ,,,SPK01_M_S_C_028,,,
C029,گفتار,C,احساسات,دلتنگی,هنوز فنجونش رو نشستم.,بم,2,2,ساده، بدون اغراق — سنگینی در سکوت بعدش است,,,SPK01_M_S_C_029,,,
C030,گفتار,C,احساسات,دلتنگی,امسال هم جای خالیش سرِ سفره بود.,خیلی بم,1,2,با بغض فروخورده,,,SPK01_M_S_C_030,,,
C031,گفتار,C,احساسات,خستگی,من دیگه نمی‌تونم. جدی می‌گم، دیگه نمی‌تونم.,خیلی بم,1,2,کند، کشیده، با بازدم سنگین,,,SPK01_M_S_C_031,,,
C032,گفتار,C,احساسات,خستگی,بذار فردا. هرچی هست بذار فردا.,خیلی بم,1,1,تقریباً بی‌رمق,,,SPK01_M_S_C_032,,,
C033,گفتار,C,احساسات,خستگی,چشمام باز نمی‌شه، دو شبه نخوابیدم.,بم,2,2,با خمیازه در صدا,,,SPK01_M_S_C_033,,,
C034,گفتار,C,احساسات,طعنه,آفرین، عالی بود. واقعاً درخشیدی.,طبیعی,3,3,لحن ستایش، معنای برعکس — کشش روی «عالی»,,,SPK01_M_S_C_034,,,
C035,گفتار,C,احساسات,طعنه,نه، معلومه که تقصیر تو نیست. هیچ‌وقت نیست.,طبیعی,3,3,آرام و نیشدار,,,SPK01_M_S_C_035,,,
C036,گفتار,C,احساسات,طعنه,چه به‌موقع. دقیقاً وقتی که همه‌چی تموم شده.,بم,2,3,با پوزخند شنیدنی,,,SPK01_M_S_C_036,,,
C037,گفتار,C,احساسات,آرامش و اطمینان‌بخشی,نفس بکش. همه‌چی درست می‌شه.,بم,2,2,کند، هر کلمه جدا,,,SPK01_M_S_C_037,,,
C038,گفتار,C,احساسات,آرامش و اطمینان‌بخشی,وقت هست. عجله‌ای نیست.,بم,2,2,ثابت و بدون نوسان,,,SPK01_M_S_C_038,,,
C039,گفتار,C,احساسات,آرامش و اطمینان‌بخشی,من اینجام، تو فقط حرفت رو بزن.,طبیعی,3,2,گرم و بی‌فشار,,,SPK01_M_S_C_039,,,
C040,گفتار,C,احساسات,امیدواری,هنوز دیر نشده، می‌تونیم درستش کنیم.,طبیعی,3,3,رو به بالا در پایان جمله,,,SPK01_M_S_C_040,,,
C041,گفتار,C,احساسات,امیدواری,یه راهی پیدا می‌کنیم، همیشه پیدا کردیم.,طبیعی,3,3,با اطمینان,,,SPK01_M_S_C_041,,,
C042,گفتار,C,احساسات,امیدواری,فردا رو از الان نبازیم.,زیر,4,3,کمی برانگیزاننده,,,SPK01_M_S_C_042,,,
C043,گفتار,C,احساسات,ناامیدی,دیگه فرقی نمی‌کنه چی کار کنیم.,خیلی بم,1,2,تخت و افتاده,,,SPK01_M_S_C_043,,,
C044,گفتار,C,احساسات,ناامیدی,هرکاری کردم. واقعاً هرکاری از دستم برمی‌اومد کردم.,بم,2,3,با بغض شکسته وسط جمله,,,SPK01_M_S_C_044,,,
C045,گفتار,C,احساسات,ناامیدی,بذار تموم شه. فقط بذار تموم شه.,خیلی بم,1,1,زمزمه، صدای خش‌دار,,,SPK01_M_S_C_045,,,
C046,گفتار,C,احساسات,شرمندگی,من... معذرت می‌خوام. اشتباه از من بود.,بم,2,2,با مکث و تردید واقعی,,,SPK01_M_S_C_046,,,
C047,گفتار,C,احساسات,شرمندگی,نمی‌دونم چطور تو چشمات نگاه کنم.,بم,2,2,صدای فرورفته,,,SPK01_M_S_C_047,,,
C048,گفتار,C,احساسات,شرمندگی,حق داری ازم دلخور باشی.,بم,2,2,پذیرنده,,,SPK01_M_S_C_048,,,
C049,گفتار,C,احساسات,التماس,تو رو خدا، فقط یه بار دیگه گوش کن.,زیر,4,3,صدای شکننده در بالا,,,SPK01_M_S_C_049,,,
C050,گفتار,C,احساسات,التماس,نرو. خواهش می‌کنم نرو.,زیر,4,4,با گریه در صدا,,,SPK01_M_S_C_050,,,
C051,گفتار,C,احساسات,التماس,هرکاری بگی می‌کنم، فقط این یکی رو نه.,طبیعی,3,3,تند و بی‌نفس,,,SPK01_M_S_C_051,,,
C052,گفتار,C,احساسات,تهدید,دفعهٔ آخرت باشه.,خیلی بم,1,3,کوتاه، بم، بدون احساس,,,SPK01_M_S_C_052,,,
C053,گفتار,C,احساسات,تهدید,اگه یه بار دیگه ببینمت اینجا، خودت می‌دونی.,بم,2,3,شمرده، با مکث قبل از «خودت»,,,SPK01_M_S_C_053,,,
C054,گفتار,C,احساسات,تهدید,من هیچی نمی‌گم. ولی فراموش هم نمی‌کنم.,خیلی بم,1,2,آرام‌ترین و ترسناک‌ترین حالت ممکن,,,SPK01_M_S_C_054,,,
D001,گفتار,D,شبکهٔ رنج,D-۱ · «باورم نمی‌شود این اتفاق افتاده باشد.»,باورم نمی‌شود این اتفاق افتاده باشد.,خیلی بم,1,1,نجوای بم — کنار گوش کسی در تاریکی,,,SPK01_M_S_D_001,,,
D002,گفتار,D,شبکهٔ رنج,D-۱ · «باورم نمی‌شود این اتفاق افتاده باشد.»,باورم نمی‌شود این اتفاق افتاده باشد.,بم,2,2,آرام و پایین,,,SPK01_M_S_D_002,,,
D003,گفتار,D,شبکهٔ رنج,D-۱ · «باورم نمی‌شود این اتفاق افتاده باشد.»,باورم نمی‌شود این اتفاق افتاده باشد.,طبیعی,3,3,کاملاً عادی — پایهٔ مقایسه,,,SPK01_M_S_D_003,,,
D004,گفتار,D,شبکهٔ رنج,D-۱ · «باورم نمی‌شود این اتفاق افتاده باشد.»,باورم نمی‌شود این اتفاق افتاده باشد.,زیر,4,4,بلند و بالا — صدا زدن از اتاق بغل,,,SPK01_M_S_D_004,,,
D005,گفتار,D,شبکهٔ رنج,D-۱ · «باورم نمی‌شود این اتفاق افتاده باشد.»,باورم نمی‌شود این اتفاق افتاده باشد.,خیلی زیر,5,5,فریاد در اوج رنج,,,SPK01_M_S_D_005,,,
D006,گفتار,D,شبکهٔ رنج,D-۲ · «در را ببند و بیا بنشین.»,در را ببند و بیا بنشین.,خیلی بم,1,1,نجوای بم,,,SPK01_M_S_D_006,,,
D007,گفتار,D,شبکهٔ رنج,D-۲ · «در را ببند و بیا بنشین.»,در را ببند و بیا بنشین.,بم,2,2,آرام و پایین,,,SPK01_M_S_D_007,,,
D008,گفتار,D,شبکهٔ رنج,D-۲ · «در را ببند و بیا بنشین.»,در را ببند و بیا بنشین.,طبیعی,3,3,عادی,,,SPK01_M_S_D_008,,,
D009,گفتار,D,شبکهٔ رنج,D-۲ · «در را ببند و بیا بنشین.»,در را ببند و بیا بنشین.,زیر,4,4,بلند,,,SPK01_M_S_D_009,,,
D010,گفتار,D,شبکهٔ رنج,D-۲ · «در را ببند و بیا بنشین.»,در را ببند و بیا بنشین.,خیلی زیر,5,5,فریاد,,,SPK01_M_S_D_010,,,
D011,گفتار,D,شبکهٔ رنج,D-۳ · «فردا صبح ساعت هشت آنجا باش.»,فردا صبح ساعت هشت آنجا باش.,خیلی بم,1,1,نجوای بم,,,SPK01_M_S_D_011,,,
D012,گفتار,D,شبکهٔ رنج,D-۳ · «فردا صبح ساعت هشت آنجا باش.»,فردا صبح ساعت هشت آنجا باش.,بم,2,2,آرام و پایین,,,SPK01_M_S_D_012,,,
D013,گفتار,D,شبکهٔ رنج,D-۳ · «فردا صبح ساعت هشت آنجا باش.»,فردا صبح ساعت هشت آنجا باش.,طبیعی,3,3,عادی,,,SPK01_M_S_D_013,,,
D014,گفتار,D,شبکهٔ رنج,D-۳ · «فردا صبح ساعت هشت آنجا باش.»,فردا صبح ساعت هشت آنجا باش.,زیر,4,4,بلند,,,SPK01_M_S_D_014,,,
D015,گفتار,D,شبکهٔ رنج,D-۳ · «فردا صبح ساعت هشت آنجا باش.»,فردا صبح ساعت هشت آنجا باش.,خیلی زیر,5,5,فریاد,,,SPK01_M_S_D_015,,,
D016,گفتار,D,شبکهٔ رنج,D-۴ · «هیچ‌کس نمی‌داند بعد از این چه می‌شود.»,هیچ‌کس نمی‌داند بعد از این چه می‌شود.,خیلی بم,1,1,نجوای بم,,,SPK01_M_S_D_016,,,
D017,گفتار,D,شبکهٔ رنج,D-۴ · «هیچ‌کس نمی‌داند بعد از این چه می‌شود.»,هیچ‌کس نمی‌داند بعد از این چه می‌شود.,بم,2,2,آرام و پایین,,,SPK01_M_S_D_017,,,
D018,گفتار,D,شبکهٔ رنج,D-۴ · «هیچ‌کس نمی‌داند بعد از این چه می‌شود.»,هیچ‌کس نمی‌داند بعد از این چه می‌شود.,طبیعی,3,3,عادی,,,SPK01_M_S_D_018,,,
D019,گفتار,D,شبکهٔ رنج,D-۴ · «هیچ‌کس نمی‌داند بعد از این چه می‌شود.»,هیچ‌کس نمی‌داند بعد از این چه می‌شود.,زیر,4,4,بلند,,,SPK01_M_S_D_019,,,
D020,گفتار,D,شبکهٔ رنج,D-۴ · «هیچ‌کس نمی‌داند بعد از این چه می‌شود.»,هیچ‌کس نمی‌داند بعد از این چه می‌شود.,خیلی زیر,5,5,فریاد,,,SPK01_M_S_D_020,,,
D021,گفتار,D,شبکهٔ رنج,D-۵ · «اسم من را از کجا می‌دانی؟»,اسم من را از کجا می‌دانی؟,خیلی بم,1,1,نجوای بم,,,SPK01_M_S_D_021,,,
D022,گفتار,D,شبکهٔ رنج,D-۵ · «اسم من را از کجا می‌دانی؟»,اسم من را از کجا می‌دانی؟,بم,2,2,آرام و پایین,,,SPK01_M_S_D_022,,,
D023,گفتار,D,شبکهٔ رنج,D-۵ · «اسم من را از کجا می‌دانی؟»,اسم من را از کجا می‌دانی؟,طبیعی,3,3,عادی,,,SPK01_M_S_D_023,,,
D024,گفتار,D,شبکهٔ رنج,D-۵ · «اسم من را از کجا می‌دانی؟»,اسم من را از کجا می‌دانی؟,زیر,4,4,بلند,,,SPK01_M_S_D_024,,,
D025,گفتار,D,شبکهٔ رنج,D-۵ · «اسم من را از کجا می‌دانی؟»,اسم من را از کجا می‌دانی؟,خیلی زیر,5,5,فریاد,,,SPK01_M_S_D_025,,,
E001,گفتار,E,گذار احساسی,,داشتم می‌خندیدم که یادم افتاد ··· تو که قول داده بودی.,,,,شادی ← دلخوری,,,SPK01_M_S_E_001,,,
E002,گفتار,E,گذار احساسی,,نگران نباش، همه‌چی مرتبه ··· نه. نیست. هیچی مرتب نیست.,,,,اطمینان ← فروپاشی,,,SPK01_M_S_E_002,,,
E003,گفتار,E,گذار احساسی,,سلام! چه عجب! ··· چی شده؟ چرا رنگت پریده؟,,,,شادی ← نگرانی,,,SPK01_M_S_E_003,,,
E004,گفتار,E,گذار احساسی,,باشه، مشکلی نیست، درکت می‌کنم ··· نه! نمی‌کنم! اصلاً درک نمی‌کنم!,,,,آرامش ← انفجار,,,SPK01_M_S_E_004,,,
